review_text,review_status
"College stoner cult following aside, Hunter S. Thompson's journalistic prowess was a vital national resource up until he left us last February.  Thompson was one of those brave few who dared to cut through popular media perceptions and glittery rhetoric and travel right to the ugly center of his subject material, counjouring hilarious allegories where the average journalist would already have soiled himself in disillusionment.  ",positive
"Bob Quinn is definitely one of the most profound writers on change in this era. But his work is not for the faint of heart because he challenges each of us to start change initiatives in the place we'd least like to go -- inside ourselves. I found this an incredibly powerful book. I've used sections of it with my ""change management"" classes for several years and I know it has a tremendous impact on students, who like most managers have grown up unconsciously believing that change always needs to start with the other guy. If you want a simple formula for change, don't buy this book. Although it is full of practical, actionable ideas, ""Change the World"" addresses change at a profound level that asks readers to reflect seriously on what they stand for. It's a very difficult but rewarding assignment",positive
This is the BEST book written by Stephen King!  I've read it twice and will probably read it about ten more times before I die,positive
"I in 1996 I bought and read All the Pretty Horses first. Laughed myself off the train seat in to town.  Bought the whole lot and read them in chronological order - re-reading Pretty Horses on the way.  Along with scenes from the Orchard Keeper, Sutree sticks in my mind - images ideas, flavours, jokes, and a personality that I'd rather see more of.  Sutree made me feel that I know this man, and could even like him.  Great fun, and deserves selfish time to read and unwind after reading.",positive
"I'm way over the age of 13, but I just loved this book.  Interesting story and characters that I enjoyed spending time with",positive
Great story!!  Excellent in fact.  My beef is with the narrator and editor:,positive
This book is NOT about ALL people. It is about gifted (in this case that means sensitive) children that are misused to feed their parents narcissism. Most children are not that sensitive and hence not suseptible to that specific abuse.,positive
"This is an extraordinary biography for, while Blumenson's admiration for George Patton is evident, it brilliantly illustrates all the sides of Patton's personality - both positive and negative. The book truly goes  beyond the popular perception of the General -and far beyond the movie- in  exploring his character and motivations. Not an overly long book, but  thorough, detailed, and very enjoyable to read",positive
"Gibbon's ""Decline and Fall"" is without a doubt one of the most well-written and truly comprehensive historical works concerning the Roman Empire.  From the military maneuvers of the northern legions to the intrigues of the Imperial Court, Gibbon showcases the history of Rome as it unfolded--often relying on the eyewitness testimony of contemporary writers to give readers a sense of the passions and policies of the time.  There are a few minute problems--or rather gaps--in Gibbon's work, but given that he originally published in the late 1700's we can excuse his lack of complete information.  Overall, an excellent read and a great history of such an important subject",positive
"I have probably close to a dozen or more people I know, including myself, that have read this and had great results removing all sorts of chronic symptoms.",positive
"Because the ideas and strategies really work! Robert Allen gives more concrete information, real meat if you will in one chapter than these other so called financial authors do in an entire book.",positive
This book gives a thorough analysis on how public policies were the catalysts for the socioeconomic destruction of low-income communities of color in New York City. Necessary reading for those who still do not  realize that activism and organizing are important vehicles through which  marginalized communities keep in check the forces that seek to further  fragment and disenfranchise them,positive
"Patriotic terrorist fighting storyline.  Exposes the political games played in Washington, that many times put our military in dangerous situations.  This book inspires me to patriotism and also deep gratitude to the Special Forces men who are so brave.  I know the book is fiction, but I can't help but feel that it is more truth than fiction.  Mitch Rapp's wife Anna is getting a little hard to stomach.  She is a good example of how an aggressive woman can nearly neuter a strong man. Again, hard to recommend to absolutely everyone because of the explicit sexual situations.  I hate to encourage my teenage boys to read it, although 95% is absolutely wonderful and inspiring, portraying men as REAL MEN. ",positive
"Since 1965 I've taught this ""truth"" based upon metaphysical studies.  Now, at last, there is scientific evidence supporting the fact that EMOTIONS CREATE FACTS",positive
"Having read most of Grisham's books, I've saved a few of his ""best"" for last.  While it wasn't a 5 star book like I'd hoped, it certainly was one of his better books with a lot of detail and of course the plot was an interesting one.",positive
"Tom Friedman's writing style is easy to read and his overarching concepts-webs and walls; states v. markets v. individuals; and the comprehensive failure of the Arab street, leadership and Muslim clergy to combat the really tough and valid questions of the day-are extremely well thought-out. From reading this compilation of NYT columns, I understand where Friedman conceived many of his ideas for his current best-selling book, 'The World is Flat.' Although I sometimes disagree with his opinions, his ability to see the big picture is spot on",positive
"I bought this book just recently and was really touched (and cried) by the whole experience that Gus had went through. He has lost the one friend that gave him a second chance (Stephanie) and without her, he could've been out there on the street again. Overall, it's a good book to read and I always believe that man and animals can be best friends and learn from one another, this book is a genuine prove.",positive
I read these books just for fun thinking I would finish in a few days and not think about it past that. Well I had another thing coming. I couldn't put the book down once I had started. I missed hours of sleep because of these books. If you want a book that can keep you enraptured for hours read the Artemis Fowl books you won't regret i,positive
"Great heartwarming stories about a boy, 2 owls and a dog.  I recommend this for all ages.  The cover markets this as a childrens's book, but adults who like animals will love this story too.  A bird lovers' delight",positive
This cookbook is the best in my collection - and I have a lot!! The instructions are clear and the pictures are great,positive
Arrived on time and in terrific shape! Thanks,positive
"Ever since starting on the SIMPLE ABUNDANCE journey with Sarah Ban Breathnach's first book, I have longed for an opportunity to learn one-on-one from the Queen of simplicity and authenticity. We may not be able to meet Sarah face-to-face, but now anyone can enjoy a workshop  atmosphere in the comfort of her own home. Women caught up in the  day-to-day deluge of deadlines, appointments, and commitments can now curl  up with a pillow and excavate their authentic self. I highly recommend this  book to anyone who wants to savor their life instead of living in a blur",positive
"Tina Dirmann did a fantastic job writing about this difficult case, which encompasses motherhood, mental illness, child abuse, and matricide. Dirmann does not interject her own biases or agenda into her writing, rather she presents the many different angles of this story in a compassionate fashion. That, in and of itself is impressive, because many writers of true crime tend to lean one side or the other,get caught up in emotion, and appear unable to really present all sides of the story. Lessons can be learned from this book regarding mental illness and society's responsibility to help families who are in need of intervention. It is so sad that the extended families of these boys failed not only them, but also tragically failed their mother.",positive
Very topical. Easy read. Hope people in the know read this and give serious thought to the potential for something like this happening.  Gives good reason why border control should be taken more serious by everybody. Looking forward to reading other books by Mr. Bell,positive
"With every Grisham book I read, I get more and more impressed with his ability to not only use the law to create suspense, but to insert other elements to make this human as well.",positive
"This book, Styron's finest, is about redemption.  Heralded by the epigraph from John Donne, the intricately structured tale with its Marlowian manipulations of narrative points of view soon becomes so enthralling that  it's impossible to put down.  But it's also to Styron's great credit that  the novel's theme, redemption through confrontation with death and  violence, is reflected through its feverish style.  There are not many  books in the postwar era, and none in the United States, that have such a  non-moralistic but intensely moral character and impact.  Echoes of the  Greek tragedians (several times evoked in the text) and of Dostoyevski  abound.  Finally, the crucial role by the most-fleshed out non-expatriate  character, a philosophical Italian small-town cop named Luigi, elevates the  moral drama to a metaphysical dimension that most contemporary writers  don't even seem to understand, let alone approach.  It's a shame that  Styron has not received the Nobel Prize yet",positive
I read the good Doctor's book Eat to Live and then bought China Study which he talks a lot about in this book.  Then I bought this book being curious after reading a few other books on fasting and this book wins hands down though I do feel he's being overly cautious about doing long fasts of more than 5 days without medical supervision to protect himself as people have been doing long fasts for centuries without medical supervision and doing just fine and since finding a Doctor in even a large community is rare indeed one is left to do this on their own.  ,positive
"From the beginning of Ruby's story, through all the footnotes of life, to the burying of Bunty...we live four generations of the Lennox family.  This is not your average family, people disappear, mothers leave families, children die in mysterious ways.  ",positive
"Very detailed information about Hypothyroidism, Can help anyone with a low basal temperature. If you think you are hypo and your doctors won't help you read this book and you will find a doctor who will help you. Lots of knowledge about this condition. Must read",positive
"This book gives the reader a fascinating and personal look inside not just the foster care system, but why they are very much so needed.  Young Dave's life was very likely saved by being taken from his mother's home and placed into foster care.  But this book makes it clear, that despite this positive change in is life, it certainly didn't mean everything was ""happily ever after"".  Dave then struggled with issues ranging from not knowing some of the mere basics that other twelve years olds know by that age, ranging from as simple as how to take a proper bath to how to behave with proper manners.  It also gives you a good look at the struggle these hard working foster homes and parents go through.  They deal day in and day out with children coming from troubled homes, and these foster homes are in such high demand that they end up cramped to the brim.  I think many of us, myself included, are unaware of just what a struggle it is for both the foster children and the foster parents, as well as how much we need to support these people.  They are dedicating themselves to a truly needed and wonderful cause.",positive
Neverwhere is one of Gaiman's best yet!  I highly recommend this novel,positive
"I expected this to be dry and mechanical like lots of other math texts - too-technical proofs, homework questions irrelevant to the material, insufficient explanations for why things are the way they are. This book really surprised me because it wasn't ""mathy"" at all. It doesn't just throw proofs at you expecting you to wade thru page upon page of math notation until you understand - it gives you the intuitive side of important concepts, which means you only need common sense, not an intensive mathematical background to get everything. The examples they picked simplify rather than confuse the concepts. Each easily and naturally leads to the next. If there's anything not thoroughly elaborated, they were sure to cover it in the homework questions, by gently prodding the reader along towards the answer step by step instead of smacking them in the face with impossible problems. Homework questions supplement the material perfectly and basically leave you with a full and well-rounded impression of what the concepts mean as well as when and why to use them, not just how to plug numbers into some formula.",positive
"I really enjoyed this coloring book--as in my very early yrs., I had kaleidoscopes to play with.  I was always intriqued with the color spectrum in them.I was hoping to find more on line with the illustrator of this book.  Sadly disappointed.  Will keep looking at other book sites. By the way, I am 56 yrs. old--and I love to color.  It's wonderful therapy for relaxing and bringing back some childhood fun",positive
"This was the first sales book I ever read. And today, 10 years later, I have it proudly displayed in my library. When I speak with clients who I now teach sales skills to, I still reference it from back in my days selling copiers in 1994. Way to go Stephan!",positive
"If you like math, I guarantee you'll like this book! The author starts out with some very nice infinite sums from 17th and 18th century mathematics (Newton, Leibniz, the Bernoullis, and Euler's Gamma function). He continues into the 19th century with Riemann and Lebesque integrals, Weierstrass' pathological functions, Cantor's set theory, and winds up with Baire's category theorem.",positive
"Painstakingly compiled by Judy Brown (contributing writer and comedy critic for LA Weekley), The Funny Pages is an impressive and hilarious collection of 1,473 jokes gathered from the funniest modern-day comedians around, ranging from Robin Williams to Bill Cosby, George Burns, Conan O'Brien, and many, many more. The individual jokes are arranged by topic underneath dictionary-style headings. From Alcohol to Yoga and Zoos; each gag is short but sweet, and packs a punch in this chuckle-inducing, highly recommended anthology of wit, gags, and humor both classic and cutting edge",positive
"Brilliant. Sam Harris portends the calamitous pathway that irrational, divisive thinking (religious & secular) will cause. He also spells out the necessary suggestions and goals for humans to evolve to the point where we're globally not at risk of suffering due to anachronistic prejudices",positive
This book turns the entire concept of intelligence inside out. Seriously mind-blowing. Excellent exercise in extended mental gymnastics. You won't be disappointed,positive
"This book clearly, easily teaches the 5 different ways we each relate to one another.    It is applies very well to couples; however, the principles also provide essential insight into relating with children, colleagues... anyone!  It makes an excellent group book study or a read-on-one's own",positive
"So many disbelievers out there! I feel so sorry for you: no magic left in your dull and predictable worlds? Of course this book is on the level. While my dog Ernestine does not build art pieces as such, she's a pretty good cook and a crack shot. So why not dog artists? The review of dog art is a little species-centric, however. Most of the dog artists I know use faecies or urine to construct art, or engage in performance pieces: ""Rooting The Leg""; and ""Licking The Balls"" spring to mind. Dog culture can be appreciated by humans but is not the SAME as human cuture. So a little less chauvanism please Ms Mathison",positive
"This was my very first book for Nora Roberts, and so far it's the best book EVER.  It is THE PERFECT book.  Brianna is a wonderful, smart inn keeper with many talents and a rare kind of maturity.  I would love to be like her!  And Gray is a successful, sweet, caring, witty author that comes to her inn in Ireland to relax and start a new book.  This is no ordinary romance.  I love that it goes deep, not only into the main characters' personalities, but there is also Brianna's sister and brother-in-law, her mother, her friend, and Gray's agent.  Not to mention the wonderful scenary of Ireland described throughout the book.  The conlcusion of the book is wonderful and utterly satisfying, leaving you with a happy glow that lasts a long time!  Other books by Nora Roberts are good, but this one takes the prize.  Of the Born trilogy this one is the best and it should NOT be missed",positive
I really had no faith before this book.  Not really sure what I should of beleived.  But this book def changed my point of view and it is shocking! Eveything just seemed ot come together and to me it just makes complete sense and I feel that this book is entirely true.   It would be great to see the world come together in world peace if they only knew the truth.  I knew the government covered stuff up but I had no idea to the extent they would goto to keep their undreground society such a secret and ruthless and would stop at nothing.  He doesn't say it straight out but the way it is described protrays this secret rogue group to be the illumnati with unlimited funding to carry out their evil intentions.  Greatest book I ever rea,positive
"I have never been a big fan of motivational books, because they seem so ""pie in the sky"" if you know what I mean. But a friend recommended this one to me and told me it was different. He was right. It was easy to read and in fact I didn't want to put it down. But what I really liked was the ""how to"" part of the book. After all, it's no good reading about other people's success stories if you don't know how to make your own. Also, something I thought was interesting is that the author has a website called Success Compass which helps you set goals and then e-mails you a reminder several times a day. I guess the real key to success is not allowing yourself to forget what you want, and this website doesn't let you forget. Hmmmmm . . . electronic nagging as the key to success! ;-) Hey, whatever works",positive
"Theodore B. Taylor, the physicist who was the subject of this book died in 2004, but not before he had completed his spiritual journey from nuclear bomb maker to nuclear protester.  Even though the text of this book originally appeared in ""The New Yorker"" in 1973, Taylor was still driven to publish his own works on the dangers of nuclear proliferation.  McPhee has a very understated style (""just the facts, ma'am""), but this book is still the most frightening I've ever read.  I can't decide whether I would want him to write a sequel, because the threat of a nuclear bomb explosion is even greater today than it was in 1973.  Just ask yourself the following questions:",positive
I bought this book after a recent trip with my family to Italy.  The food was so wonderful that I wanted to learn more about it.  Essentials of Classic Italian Cooking turned out to be exactly what I was looking for.  It explains the basics as well as the regional specialties.  I learned so much!  I highly recommend it,positive
"These are all short stories, some very short; that's what he wrote. I remember reading a number of these (the science fiction ones mostly) in translation years ago. Rereading them now in the context of all his other work was really very interesting. As a collection of all his fictions, some of the items are a bit repetitive; the variations on the ""knife fight"" theme for instance. But the range of his imagination is fascinating, particularly in his thoughts about reality vs imagination and layers of reality and identity: a lot of it presages the information-based world of today, which sometimes seems to have left hard reality behind.",positive
"Once again Mr. Updike delivers an insightful story of life in suburbia and what lurks in the hearts and minds of men and women  - love, lust, betrayal, self doubt.  Villages relates Owen's life as only John Updike can.  The last chapter gets a little too long and not as enjoyable as the rest of the book, but I will certainly recommend it to all my friends",positive
"I really like this series of books that range from this ""Storage"" one to ""Bathrooms,"" ""Family Houses,"" etc...  but I am giving this book a 4 because it shows alot of houses that seem to be beyond the means of most people that I know around my area.  This book also likes to tell you to build storage in every little crack/space that does not currently have something useful going for it.  I am giving it 4 stars, because it does inform you of all of the different types of devices that are currently (as of the book being published) available to help you make storage possible in nooks and crannies.  It also gives you ideas and suggestions about how you can make more use out of the storage that you already have, by redesigning the shelving to make it more attractive also.  Try not to read it all at once though, because I started to gloss over stuff just to get to the end of the book.  Take it a step at a time and it will be a great start for you",positive
"I read an interview with Mr. Vollman, I think a couple years ago, I can't quote directly but he said he thought that prostitutes were very spiritual people.  They save marriages, they provide comfort to the loneliest, most desperate among us.  In practically the same breath he observed that they spread disease and sometimes rob their johns.",positive
"This is the text I love the best and it is easy to read and with the words of Jesus in red.  My only criticism in that the corners of the cover tend to bend - they are made of cardboard which is not as durable as leather, for which I would have paid more.  However, it is very good value, and the delivery was as swift as ever",positive
"This is a wonderful book, aimed at helping the struggling new mom with the all-too-often misunderstood Post-Partum Depression symptoms.  While I am thrilled that such a renowned star is willing to share her story for the benefit of others, I urge Brooke Shields to re-consider a comment she made recently. She indicated that while she KNOWS now that Post-Partum Depression is real and requires treatment of both medicinal and therapy support,...she does NOT believe that ADHD exists nor that it requires the same level of support.  It is essential that such public figures realize that what they HAVE experienced is not the ONLY form of reality.  Thousands suffer with ADHD in ways that interfere with their livlihood, schooling, relationships and self-esteem issues.  Studies have shown this challenge to be as REAL and as DEBILITATING as Post Partum Depression.  So please,Brooke...don't deny the realities of OTHER maladies, simply because you haven't experienced them. You of all people should realize how frustrating it is to have your challenges blown off by others. Your ""voice"" is heard loudly.  Your message must be correct.  Thank you",positive
"Beginning with the introduction, I was taken on a fabulous journey. These gifted authors write a wonderful narrative.  Lande's Snapshots add a lot to this impressive and comprehensive companion. They are as engaging as any short story in the New Yorker!",positive
"This author has written ""Kitchen Table Wisdom"" which was recommended to me a year ago by my doctor..Ms Remen remembers her Zayde who died whe she was 7 and tells us all the wonderful things he taught her...She is a physician and therapist and combines the lessons she learned at age 7 with her professional knowledge..I love this book and find myself returning to it time and time again to re-read the stories of strength, refuge and belonging..this book is much more than ""chicken soup""...it is ""chicken soup with matzo balls",positive
This is such a Great book I have boughten copeys for all my childern,positive
"This book was a life saver for me as I opened my solo practice this summer. Without it, I would have spent countless hours developing these forms myself. The feature that allows you to customize the forms is especially nice. I recommend this for new or veteran mental health workers",positive
"There is little more I can contribute to this literary masterpiece--even though the essential structure of my review is clear in my mind, it will not be able to truly capture the magnificent splendor of this work. Gustave Flaubert was a conscientious literary artist who revised and perfected Madame Bovary with care. He worked on the novel for nearly six years, during which time he rewrote the manuscript several times, often spending days perfecting a single paragraph. The result of his painstaking creativity was a masterpiece that rivals the heavens with its beauty. Madame Bovary is a penetrating psychological study of its heroine, Emma Bovary, as she struggles to find fulfillment through a realization of her romantic fantasies of love and wealth. She exists in a dream world and longs for freedom from her middle-class humdrum lifestyle. Flaubert's realistic portrait of the tragic fate of this complex woman is nothing short of phenomenal.",positive
"This book is a very good study into what happen to the Lost Ten Tribes of Israel. Mr. Capt did a Great job in back tracking by using the clay tablets that were found in Assyria which list the tribes by the name which was used by the Assyrians which is called the House of Omri. This book is very in depth and very informative. I also noticed a person left one star because Mr. Capt did say anything about the Jews. Of course the Jew's wouldn't be metioned they weren't taken into exile until 586 bce, and that was by Babylonia and not Assyria. When reading about the Ten Tribes people need to know that the ten tribes were not Jews. Over all I give five stars and it is a must have for a historian or an avid Bible reader intrested in research",positive
The new age herbalist is a great book. It has a ton of different herbs and tells the uses of each one. They also warm you about anything dangerous  about all of the plants. Very useful book perfect for anyone from beginner  to advanced herbalist. I use this book all of the time,positive
"This book is a rare but insightful look into the practice of one of the New Urbanist legends. UDA began the pattern book revival a decade ago (and also has a book out describing the process of writing one.) They also are one of the pioneers of the New Urbanist revolution, which, by discarding the fictions of Modernist planning, have rediscovered existing methods and have discovered new methods of creating compact, mixed-use and walkable neighborhoods that were always the basic cellular structure of cities from the dawn of time until just before World War II. We have understood the basic principles again for some time. What this book shows are some of the mechanics of how to do it again",positive
"Rarely is there a book that I can not put down, this was an exception. Quite a suspensfull page turner. Any book that can draw you in and you can visualize the characters and the scenery is excellent and this book did that. I would have given it 5 stars, but I do not like romance blended in with any suspense novel, that's just my taste.  By far,  however, one of the best books I have read in a long time",positive
"Sacred Pathways is easy to read, plain, balanced, and straightforward.  The book surveys 9 different spirituality types.  For each type it identifies Scripture, historical characters, styles of worship, and dangers.  The book contains an evaluation tool to help the reader identify his or her personal spiritual personality.",positive
"What an absolute lifesaver! As parents of two kids- (one dreamer and one dynamo) we had run through the endless &quot;experts&quot; in our town for answers. This is a priceless resource for anyone who wants to stand up with facts to experts in both the medical and the school-related fields. It gives reasons for behavior and what works ,and more importantly, why what a lot of people want you to do won't work! I have given it to each teacher/specialist who works with my children. Her advice does work and your special bright child will blossom with it. It is written in an engaging and segmented format. Be sure to read the part addressing whether or not to medicate. Perfect for carpool wait times as most parents of these bright and energetic kids don't get any other time to sit still",positive
"WOW, WOW, WOW. Get this book! This has (just about) everything you need to be professional. The only thing I didn't like is that most of the resources listed were geared to NYC residents, but there was good direction as to how to locate similar services in your area. I especially liked the opening that deals with how artists are helping to perpetuate their own ""starving artist"" myth, and the ways to stop that. It made me realize that I am the one standing in the way of my own success! Well, no more--thanks to Caroll--I am taking all of the steps listed. I wish my graduate school had this information available",positive
"Left for dead by her kidnappers, Lore is found by the mysterious woman Spanner, who teaches her to survive by her wits and to live in the dark world of crime. The two become lovers, but Lore wants legitimacy and to heal from her various wounds (her past with her family, her weeks with the kidnappers), so she leaves, taking a new identity, and tries to fit in. Ultimately, Lore cannot run from her demons forever, and she must either choose to stay in the shadows or to face the truths of her past. Set in the not-so-distant future, &quot;Slow River&quot; weaves Lore's pasts and present together into an astonishingly compelling tale. At the heart of the book is the story of a young woman healing from abuse, and the science fiction aspects are simply the setting and enhancing details. &quot;Slow River&quot; is the type of book that transcends whatever genre in which it's placed: it's more than a science fiction story, more than a coming-of-age story, more than a lesbian love story, more than a story of healing from abuse. This is a book that makes one believe in the power of fiction",positive
Pest Control is a light-hearted book which uses a fast pace and off-the-wall humor to make up for any depth problems.,positive
"This book is another excellant addition to the growing body of knowledge and accessible information on a health problem that plagues many Americans.  Adrenal fatigue and its consequences and causes should become one of the most crucial topics in health maintainance.  Another excellent book in this vein is Dr. J. Wilson's, Adrenal Fatigue, The 21st Century Stress Syndrome",positive
"Published in 1986, Dr. Deming ""Out of the Crisis"" seems to form the basis for the transformation needed in American management mentality. Two main subjects are discussed in the book. The first is the exposure of problems and pitfalls in top management operations, the second, relates suggestions and solutions that can solve and transform the way American management operates. 14 core points are suggested by Dr. Deming to address problems in management and are supported by many examples using different scientific methods. ",positive
"Over 20 years after it was published, the story of the Israeli attempt to eradicate massive and repeated terrorist attacks emanating from the PLO (Bubba's/Jacques/UN's buddy Yasser) in Lebanon is no less important.  Interestingly, Lebanon is still struggling to rid itself of Syrian occupation.  They have gone from the vegan dictator Hafez Assad murdering opponents and journalists to the Syrian optometrist dictator murdering opponents and journalists (another killed last week 7/2005).",positive
"A refreshing look on software development and the many pitfalls you need to avoid.  This book should be read by everybody involved in any software project but the simplest. In my opinion, a standard work.  Nevertheless, it needs to be handled with care.  During ages, SW development managers have tried convincing their people to break out of the chaos, and plan their work.  This book correctly warns for the opposite effects of believing that planning solves everything. Some people might however read between the lines that no planning at all is the best practice. The book confirms what I and my successful colleagues found through experience and intuition: there is an optimal point of planning upfront.  Less harms because you don't know where you are going, more (too detailed) harms because it takes away flexibility and it slows you down significantly. ",positive
Spend big bucks and hire The Boston Consulting Group to help you with your strategy . . . and what do you get?  Hardball answers that question indirectly through sharing classic strategies for achieving competitive and economic advantage employed by BCG clients.,positive
"This book appears on most of the 'best of' science fiction lists that various pundits and critics have put out, even though it is not a very commonly known work. Does it deserve such a placing? I think the answer to that depends upon what your viewpoint is about what science fiction, as a form of literature, is supposed to accomplish. ",positive
"This book consists of 29 stand-alone essays, beautifully written and previously published in the ""New England Journal of Medicine"" during the early seventies.",positive
